Unnamed: 0,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth
Car - Diesel,7.78328598939269,23.942932620653,11.9077102179741,13.3276989519516,17.7832965637054,8.0185821548874,1.21184499157518,9.70772642327165,15.6445947854263,17.3754214605581,20.8718482792737,13.3257095587986,6.79142096752278,6.82538712529561,9.28259174938341,10.1201490123262,17.843673032272,24.577442497477,17.7765851035951,5.19788830653576,5.64163908272021,10.0704428420852,8.6533238138311,9.57235582669155,8.45486032926336,11.0287105401046,15.3981843406129,11.0296535511001,8.67946521516651,8.2325125506294,9.10214296523358,11.6012290974214,10.1072272814425
Car - Electric,0.00322852944845171,0.00966606312874667,0.00471945921607233,0.00554208810591842,0.0074715949880048,0.00329850525288991,0.000476537212804948,0.00389444021064727,0.00660946880195963,0.00729714666422228,0.00694895285699053,0.0056072696766608,0.00274840104993574,0.0028204626124106,0.00375965791818076,0.00412915667463327,0.00560301770276223,0.00871683193887166,0.00744365716541798,0.00209298858771844,0.00224602056770013,0.00412574857770867,0.00357823809760129,0.00398141220101381,0.00348241631124636,0.00440889569440948,0.00639388077775959,0.004806714366529,0.00348827079186265,0.00339919651856426,0.00375999728994128,0.00463870054840794,0.00417531939756702
Car - Petrol,6.52863927705988,19.6572508913654,9.58604901548567,11.1578173215436,15.0587602499186,6.62374896910451,0.957361341102114,7.82524914938392,13.2791842600461,14.7375418015231,15.9721587071378,11.3365665395868,5.53124943049445,5.67675686851883,7.55208769686332,8.311774756917,12.51940429131,18.9390413286871,15.1005876091826,4.20191392964952,4.51614748516092,8.38376306910899,7.18374892745309,7.99421501083202,7.01039373587328,8.9370663207816,13.0059794749803,9.66139797874472,7.00349265052919,6.83252937123767,7.57536631820913,9.4093051974293,8.39359284244291
HGV - Articulated,1.67149609221675,2.5683987857369,1.51896813326218,1.41893224442369,1.14015938105092,0.582756406926411,0.0670936432040126,0.638377985421863,1.41419363566697,2.28460584915044,8.95780242986719,1.40599575083776,0.532742680708655,0.357125291180281,0.604478801788784,0.603716776284887,7.62100235365861,3.42978964915135,1.52805915637313,0.409145196392976,0.310937256031664,0.626119793275862,0.614205738710218,0.870128881840276,0.652626739677831,1.48065280062166,1.96630466925307,0.58906218120535,0.661806934894283,0.501683659350332,0.97905848052825,1.04813374999859,0.744772074929585
HGV - Rigid,2.85233590749607,5.36586184268801,2.51693550035453,3.71326665849148,3.31198358531596,2.65941184280335,0.782239350682997,3.53423739574653,3.79345532176276,4.99949635938356,5.94215107545717,3.95614183468978,2.46909126729468,1.96778464952334,2.39903182166873,1.5987664677607,4.46247927387055,5.59275966776852,4.10154052215744,1.95200491863568,1.9539441510699,1.88997776589426,2.85904131440019,2.76078595574018,2.05555034290418,3.92175193767911,3.64549301007073,2.21875139532146,3.11345514555077,1.58601883970591,4.47152411431623,2.91542040335474,2.94686915673867
LGV - Diesel,5.56118880419797,16.1960125845744,8.07715120741761,8.74049119904109,10.9714142369407,6.71777801600769,1.97338307274161,10.5324329126711,9.76326566220777,12.3412887670009,12.9935253248245,10.0719714002067,5.98454420024123,5.80959258196145,6.59617922599683,5.05762341245509,12.0706485117751,13.9031388130004,11.3644584433084,5.09719259911397,5.70175620304067,6.21239364950646,7.73143000500669,6.87318992248328,5.81582226032264,7.79805777155866,10.5043608708779,6.12712488548137,7.94272740957544,4.84867482329431,8.96935379404714,8.3314617483714,8.12389740563453
LGV - Electric,0.00152772203755624,0.00418977445634542,0.00216348514492844,0.00243962472792721,0.00320324945984772,0.00167381960021966,0.000434024104010256,0.00257823879253221,0.0028377008573791,0.00342051346936824,0.00300384044465614,0.00289439122775438,0.00155096448828457,0.00157205730961746,0.00178709531404552,0.00142362909253665,0.00219125586999689,0.00325727963531573,0.00308397914037442,0.00129779709717113,0.00148072035838392,0.00168672226374374,0.00211616551881905,0.00195985132882604,0.00156597225520592,0.00207721904764199,0.00285030406178094,0.00176997042581131,0.0020766537789391,0.00138599510234955,0.0024680241583924,0.00218617855649697,0.00226989064536325
LGV - Petrol,0.0562189852849853,0.154936356275486,0.0799470134454262,0.0892711737523714,0.117440411859593,0.0610290183051521,0.015825999486997,0.09405837105931,0.10359556285255,0.125557318671232,0.149860772760134,0.10635739996214,0.0567117351427632,0.0574612005866931,0.0652066340577811,0.0521198700025489,0.105659899048976,0.137431291717904,0.11370528812465,0.0473156198301522,0.0540572834419867,0.062290615341914,0.0771627717513352,0.0714739686973861,0.0572540475136737,0.0765927497367486,0.105609595282843,0.0646090079515341,0.0757227210532415,0.050611649416172,0.0903253965337318,0.0806748193588959,0.08285677982742
Motorcycle,0.157364282853576,0.586241311367525,0.274456505988771,0.339909883042835,0.412971312000012,0.542798276227334,0.262994372892524,0.973048166425911,0.369881857941805,0.51782995484078,0.343106752533744,0.513619245596541,0.360860880302448,0.472808553319574,0.300706813692493,0.167981245066032,0.290864604243965,0.432168544546553,0.530216551307703,0.41885669766099,0.485005143785977,0.312326972331594,0.704917899395997,0.433655822179057,0.265839916224943,0.352962009076116,0.339847523248175,0.367357426521007,0.645441198971822,0.164248048367751,0.612759145872301,0.287940155852576,0.677947496621503
Non-TfL Bus / Coach,0.539994621195577,2.61573738564448,1.18899879001169,1.45122404102904,1.42566183811008,1.58230819491321,0.669694205950436,5.2011364664452,1.46325621167717,2.11604893506747,1.77857413836558,1.90787251422989,1.0714285335922,1.52245126520999,1.00695074737287,0.698267884134032,1.6735743505485,4.59082071162192,2.33170815235226,0.637208652114699,2.00681174612615,0.864914579291603,1.51971655005159,1.37683531495325,0.871512272639656,1.47258488088715,1.55316055760169,1.18099270652052,1.58230228499609,0.690629755572505,1.39466919007037,1.0613338413432,1.10443055800325
